Domain,Web_Traffic,Have_At,SubDomain,Prefix/Suffix,Have_IP,URL_Depth,Redirection,TinyURL,Digit_count,Domain_Age,Label
en.turkeyforfriends.com,0,0,0,0,0,2,0,0,6,0,0
blogs.indiewire.com,0,0,0,0,0,3,0,0,0,0,0
absoluteastronomy.com,0,0,0,0,0,2,0,0,0,0,0
flickr.com,0,0,0,0,0,3,0,0,10,0,0
olx.co.id,0,0,0,0,0,2,0,1,5,0,0
moviesplanet.com,0,0,0,0,0,3,0,1,5,0,0
facebook.com,0,0,0,0,0,3,0,0,15,0,0
uproxx.com,0,0,0,0,0,4,0,1,6,0,0
mail.google.com,0,0,0,0,0,3,0,0,1,0,0
sports.espn.go.com,0,0,0,0,0,3,0,0,7,1,0
umbcretrievers.com,0,0,0,0,0,2,0,0,0,0,0
forum.videohelp.com,0,0,0,0,0,2,0,0,8,0,0
ebay.com,0,0,0,0,0,3,0,0,16,0,0
imdb.com,0,0,0,0,0,3,0,0,7,0,0
linkedin.com,0,0,0,0,0,2,0,0,0,0,0
toronto.com,0,0,0,0,0,2,0,0,6,0,0
mobygames.com,0,0,0,0,0,2,0,0,0,1,0
conservapedia.com,0,0,0,0,0,1,0,0,0,0,0
grandstandsports.com,0,0,0,0,0,2,0,0,1,0,0
footballcardlots.com,0,0,0,0,0,2,0,0,0,0,0
streamfinder.com,0,0,0,0,0,1,0,0,0,0,0
flickr.com,0,1,0,0,0,3,0,0,20,0,0
healthgrades.com,0,0,0,0,0,2,0,0,3,0,0
sports.yahoo.com,0,0,0,0,0,2,0,0,4,0,0
filepie.us,0,0,0,0,0,0,0,0,0,0,0
music.youtube.com,0,0,0,0,0,1,0,0,4,0,0
sexandfetishforum.com,0,0,0,0,0,1,0,0,6,0,0
kickshawproductions.com,0,0,0,0,0,1,0,0,4,0,0
linkedin.com,0,0,0,0,0,3,0,0,0,0,0
ricardocosta.com,0,0,0,0,0,0,0,0,0,0,0
amazon.com,0,0,0,0,0,3,0,0,10,0,0
lincoln.ac.uk,1,0,0,0,0,3,0,0,4,1,0
fanbase.com,0,0,0,0,0,2,0,0,6,0,0
mic.com,0,0,0,0,0,3,0,0,6,0,0
webheights.net,0,0,0,0,0,2,0,0,4,0,0
onterm.gov.on.ca,0,0,1,0,0,1,0,0,0,0,0
janus.lib.cam.ac.uk,1,0,1,0,0,2,0,0,1,1,0
rivals.yahoo.com,0,0,0,0,0,4,0,0,6,0,0
union.wisc.edu,0,0,0,0,0,0,0,0,0,1,0
baseballlibrary.com,0,0,0,0,0,4,0,0,0,0,0
zoominfo.com,0,0,0,0,0,2,0,0,10,0,0
amazon.com,0,0,0,0,0,3,0,0,4,0,0
williamhpeck.org,0,0,0,0,0,1,0,0,0,0,0
palomar.edu,0,0,0,0,0,3,0,0,0,1,0
roadrunnerrecords.com,0,0,0,0,0,2,0,0,6,1,0
depositphotos.com,0,0,0,0,0,2,0,0,9,0,0
kchomes.net,0,0,0,0,0,1,0,0,0,0,0
xmmlbchat.blogspot.com,1,0,0,0,0,3,0,1,9,1,0
venturebeat.com,0,0,0,0,0,4,0,1,8,0,0
northofboston.worldweb.com,0,0,0,0,0,1,0,0,0,0,0
freefox.com,0,0,0,0,0,2,0,1,1,0,0
facebook.com,0,0,0,0,0,1,0,0,0,0,0
goaztecs.cstv.com,0,0,0,0,0,4,0,0,6,0,0
depositphotos.com,0,0,0,0,0,1,0,0,9,0,0
listsearches.rootsweb.com,0,0,0,0,0,5,0,0,16,0,0
lawcrossing.com,0,0,0,0,0,3,0,0,4,0,0
picktorrent.com,0,0,0,0,0,4,0,1,6,0,0
tunein.com,0,0,0,0,0,2,0,0,12,0,0
obituaries.news-record.com,0,0,0,1,0,3,0,0,14,0,0
prairiemary.blogspot.com,1,0,0,0,0,0,0,1,0,1,0
venturebeat.com,0,0,0,0,0,4,0,1,10,0,0
spoke.com,0,0,0,0,0,4,0,0,0,0,0
movies.nytimes.com,0,0,0,0,0,5,0,0,10,0,0
familytreemaker.genealogy.com,0,0,0,0,0,7,0,0,4,0,0
bibleknowledgebookstore.com,0,0,0,0,0,2,0,0,0,0,0
need.bg,1,0,0,0,0,1,0,0,4,1,0
extratorrent.cc,0,0,0,0,0,3,0,0,21,0,0
people.famouswhy.com,0,0,0,0,0,1,0,0,0,0,0
sweetandpussy.com,0,0,0,0,0,1,0,0,0,1,0
lyricsty.com,0,0,0,0,0,1,0,0,0,0,0
myspace.com,0,0,0,0,0,1,0,0,0,0,0
jobsearch.money.cnn.com,0,0,0,0,0,4,0,0,0,0,0
cjad.com,0,0,0,0,0,2,0,0,0,0,0
baseball-almanac.com,0,0,0,1,0,2,0,0,2,0,0
basketball-reference.com,0,0,0,1,0,3,0,0,2,0,0
mobilepopsband.com,1,0,0,0,0,0,0,0,0,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,0,0,0
video.oilers.nhl.com,0,0,0,0,0,2,0,0,5,0,0
erinheschwell.com,1,0,0,0,0,0,0,0,0,0,0
facebook.com,0,0,0,0,0,1,0,0,0,0,0
manta.com,0,0,0,0,0,3,0,0,3,0,0
toledoblade.com,0,0,0,0,0,5,0,0,8,0,0
francethisway.com,0,0,0,0,0,2,0,0,0,1,0
tvguide.com,0,0,0,0,0,3,0,0,6,0,0
rubyspearsenterpriseslaj.ytmnd.com,0,0,0,0,0,0,0,0,0,0,0
stats.wikimedia.org,0,0,0,0,0,2,0,0,0,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,0,0,0
union.org.nz,1,0,0,0,0,1,0,0,0,1,0
cruiselinehistory.com,0,0,0,0,0,0,0,0,2,1,0
audiopleasures.blogspot.com,1,0,0,0,0,3,0,1,6,1,0
linkedin.com,0,0,0,0,0,4,0,0,0,0,0
allrss.com,0,0,0,0,0,1,0,0,0,0,0
astral.com,0,0,0,0,0,5,0,0,4,0,0
local.yahoo.com,0,0,0,0,0,1,0,0,8,0,0
businesslook.co.uk,0,0,0,0,0,3,0,0,0,0,0
ottawacitizen.com,0,0,0,0,0,2,0,0,0,0,0
transdev.eu,1,0,0,0,0,3,0,0,2,1,0
couponsforcanada.ca,1,0,0,0,0,1,0,0,2,1,0
moviemarket.com,0,0,0,0,0,1,0,1,6,0,0
beachsoccerusa.org,0,0,0,0,0,2,0,0,3,0,0
giantitp.com,0,0,0,0,0,2,0,0,4,0,0
whosdatedwho.com,0,0,0,0,0,4,0,0,0,0,0
superherohype.com,0,0,0,0,0,3,0,0,7,0,0
extratorrent.cc,0,0,0,0,0,3,0,0,21,0,0
toonboomtutorials.com,0,0,0,0,0,2,0,0,4,0,0
chess.com,0,0,0,0,0,2,0,0,4,0,0
lowellbasketball.com,1,0,0,0,0,0,0,0,0,0,0
buy-fineart.com,0,0,0,1,0,0,0,1,0,1,0
lima.ohio-state.edu,0,0,0,1,0,1,0,0,0,1,0
grantland.com,0,0,0,0,0,2,0,0,4,1,0
amazon.com,0,0,0,0,0,3,0,0,4,0,0
